Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
309,Grambling St.,SWAC,-12.23,92.2,333,104.4,223,70.4,114,311,-12.50,90.9,340,103.4
310,Jackson St.,SWAC,-12.35,90.2,345,102.5,181,69.6,152,309,-12.37,90.1,344,102.5
311,Manhattan,MAAC,-12.40,89.0,350,101.4,157,66.9,283,310,-12.39,88.9,350,101.3
312,Texas A&M Corpus Chris,Slnd,-12.95,93.5,322,106.4,276,68.2,227,312,-12.95,93.4,323,106.4
313,Howard,MEAC,-12.96,98.6,229,111.6,341,70.3,117,313,-12.96,98.5,229,111.5
314,Sacred Heart,NEC,-13.17,95.8,287,109.0,320,68.6,209,314,-13.17,95.7,287,108.9
315,Lehigh,Pat,-13.19,96.5,275,109.7,326,68.8,195,315,-13.18,96.4,275,109.6
316,USC Upstate,BSth,-13.25,96.6,274,109.8,327,68.2,228,316,-13.24,96.5,274,109.8
317,North Carolina A&T,MEAC,-13.33,95.9,285,109.2,323,70.8,93,317,-13.35,95.8,284,109.2
318,Hampton,BSth,-13.41,94.3,311,107.7,301,72.2,44,318,-13.41,94.1,313,107.5
319,Northern Illinois,MAC,-13.48,93.3,323,106.8,287,64.9,337,319,-13.48,93.2,324,106.7
